datetime,close,open,high,low,trade_type,signals
08-03-2022 10:00,2596.8,2584.5,2609,2565.74,NONE,0
08-03-2022 11:00,2587.32,2596.79,2597.91,2570.3,NONE,0
08-03-2022 12:00,2576.38,2587.32,2600.26,2565,NONE,0
08-03-2022 13:00,2587.69,2576.38,2594.73,2555.11,NONE,0
08-03-2022 14:00,2572.77,2587.69,2608.32,2560,NONE,0
08-03-2022 15:00,2558.11,2572.77,2580.31,2529.68,NONE,0
08-03-2022 16:00,2539.83,2558.1,2588,2523.84,NONE,0
08-03-2022 17:00,2591.78,2539.83,2606,2537.04,NONE,0
08-03-2022 18:00,2568.97,2591.78,2623,2567.71,NONE,0
08-03-2022 19:00,2578.17,2568.96,2583.2,2553.35,NONE,0
08-03-2022 20:00,2551.84,2578.16,2588.38,2548,NONE,0
08-03-2022 21:00,2557.32,2552.04,2562.75,2546.72,NONE,0
08-03-2022 22:00,2567.23,2557.32,2574.03,2554.78,NONE,0
08-03-2022 23:00,2575.49,2567.24,2585.11,2564.73,NONE,0
09-03-2022 00:00,2586.82,2575.5,2588.67,2566.41,NONE,0
09-03-2022 01:00,2618.32,2586.95,2626.36,2584.47,NONE,0
09-03-2022 02:00,2619.95,2618.32,2634.9,2605.61,NONE,0
09-03-2022 03:00,2698.46,2619.72,2717.68,2617.07,NONE,0
09-03-2022 04:00,2717.82,2698.46,2729.2,2697.9,NONE,0
09-03-2022 05:00,2714.27,2717.82,2723.6,2704.01,NONE,0
09-03-2022 06:00,2719.64,2714.27,2726,2705.22,NONE,0
09-03-2022 07:00,2743.24,2719.64,2750,2715,NONE,0
09-03-2022 08:00,2754.47,2743.25,2773.17,2721.05,NONE,0
09-03-2022 09:00,2753,2754.55,2767.49,2750.22,NONE,0
09-03-2022 10:00,2756.18,2753,2760.25,2742.68,NONE,0
09-03-2022 11:00,2744.74,2756.03,2762.52,2740,NONE,0
09-03-2022 12:00,2739.19,2744.74,2767.75,2728.1,NONE,0
09-03-2022 13:00,2726.9,2739.19,2743.95,2710.58,NONE,0
09-03-2022 14:00,2737.24,2726.91,2747.86,2724.61,NONE,0
09-03-2022 15:00,2756.58,2737.24,2766,2732.08,NONE,0
09-03-2022 16:00,2746,2756.58,2759.07,2739.63,NONE,0
09-03-2022 17:00,2743.05,2745.87,2750.79,2732.94,NONE,0
09-03-2022 18:00,2710.1,2743.04,2744.11,2700.43,NONE,0
09-03-2022 19:00,2713.26,2710.11,2719.73,2677.33,NONE,0
09-03-2022 20:00,2686.82,2713.27,2726.96,2678.53,NONE,0
09-03-2022 21:00,2706.69,2686.81,2712.4,2681.06,NONE,0
09-03-2022 22:00,2716.27,2706.69,2727.71,2703.81,NONE,0
09-03-2022 23:00,2726.37,2716.27,2734.93,2708.9,NONE,0
10-03-2022 00:00,2708.05,2726.37,2733.37,2705.36,NONE,0
10-03-2022 01:00,2663.46,2708.04,2724.82,2652,NONE,0
10-03-2022 02:00,2660.72,2663.46,2673.15,2655,NONE,0
10-03-2022 03:00,2657.96,2660.72,2672,2652.48,NONE,0
10-03-2022 04:00,2601.56,2657.96,2664.11,2575.12,NONE,0
10-03-2022 05:00,2589.93,2601.55,2604.91,2570,NONE,0
10-03-2022 06:00,2592.61,2589.94,2596.14,2570.21,NONE,0
10-03-2022 07:00,2591.2,2592.62,2597.8,2580.54,NONE,0
10-03-2022 08:00,2596.13,2591.21,2599.37,2573.24,NONE,0
10-03-2022 09:00,2598.32,2596.13,2608.63,2586.67,NONE,0
10-03-2022 10:00,2588.85,2598.33,2601.69,2585.09,NONE,0
10-03-2022 11:00,2592.04,2588.85,2597.61,2582.45,NONE,0
10-03-2022 12:00,2600.79,2592.33,2609.86,2583.08,NONE,0
10-03-2022 13:00,2571.73,2600.78,2646.62,2546.83,NONE,0
10-03-2022 14:00,2593.36,2571.72,2598,2556.86,NONE,0
10-03-2022 15:00,2595.92,2593.36,2622.35,2581.79,NONE,0
10-03-2022 16:00,2593.9,2595.82,2604.22,2582.27,NONE,0
10-03-2022 17:00,2591.25,2593.91,2603.2,2583.82,NONE,0
10-03-2022 18:00,2596.24,2591.26,2602.43,2584.1,NONE,0
10-03-2022 19:00,2611.74,2596.22,2616.9,2591.6,NONE,0
10-03-2022 20:00,2617.33,2611.8,2620,2599.67,NONE,0
10-03-2022 21:00,2602.18,2617.37,2619.68,2599.84,NONE,0
10-03-2022 22:00,2610.96,2602.18,2613.54,2590.02,NONE,0
10-03-2022 23:00,2605.44,2610.96,2616.8,2602.21,NONE,0
11-03-2022 00:00,2592.77,2605.43,2608.89,2584.33,NONE,0
11-03-2022 01:00,2562.37,2592.78,2593.72,2554.8,NONE,0
11-03-2022 02:00,2527.49,2562.37,2568.03,2522.06,NONE,0
11-03-2022 03:00,2550.1,2527.49,2553.29,2520.5,NONE,0
11-03-2022 04:00,2537.92,2550.09,2551,2531.87,NONE,0
11-03-2022 05:00,2563.27,2537.92,2564.44,2534.72,NONE,0
11-03-2022 06:00,2582.01,2563.28,2595.34,2558.7,NONE,0
11-03-2022 07:00,2607.99,2582.02,2619,2580.64,NONE,0
11-03-2022 08:00,2596.59,2607.99,2612.25,2589.85,NONE,0
